group,tier,pair,id,image_path,gold_specific,country,language
confusing,definitional_compositional,11/25,1682830324380,Bangladesh/1682830324380.jpg,25,BD,na
confusing,definitional_compositional,11/25,1680502595119,SL cleaned Images/1680502595119.jpg,25,LK,local_only
confusing,definitional_compositional,1/13,PXL_20220910_100555288-10_6_44,India/PXL_20220910_100555288-10_6_44.jpg,1,IN,na
confusing,definitional_compositional,14/16,1660449374765,SL cleaned Images/1660449374765.jpg,14,LK,mixed
confusing,definitional_compositional,14/16,1599114449074,Sri Lanka/1599114449074.jpg,14,LK,local_only
confusing,definitional_compositional,14/16,1615612865726,Sri Lanka/1615612865726.jpg,14,LK,mixed
confusing,definitional,5/19,1601035630776,Sri Lanka/1601035630776.jpg,19,LK,en_only
confusing,definitional_compositional,11/25,1599194211207,Sri Lanka/1599194211207.jpg,25,LK,mixed
confusing,definitional_compositional,14/16,1600405013623,Sri Lanka/1600405013623.jpg,14,LK,mixed
confusing,definitional_compositional,11/25,1643175145396,SL cleaned Images/1643175145396.jpg,25,LK,mixed
confusing,definitional_compositional,7/27,1597990452198,Sri Lanka/1597990452198.jpg,27,LK,mixed
confusing,definitional_compositional,1/13,1598331340736,Sri Lanka/1598331340736.jpg,1,LK,mixed
confusing,definitional_compositional,1/13,1597821766830,Sri Lanka/1597821766830.jpg,1,LK,mixed
confusing,definitional,5/19,1641444150181,SL cleaned Images/1641444150181.jpg,19,LK,mixed
confusing,definitional,3/18,1593940540737,Sri Lanka/1593940540737.jpg,3,LK,mixed
confusing,definitional_compositional,6/15,1599110891269,Sri Lanka/1599110891269.jpg,15,LK,en_only
confusing,definitional,8/23,1604037709876,India/1604037709876.jpg,23,IN,en_only
confusing,definitional_compositional,7/27,1646972033179,SL cleaned Images/1646972033179.jpg,27,LK,mixed
confusing,definitional_compositional,1/13,1599113334051,Sri Lanka/1599113334051.jpg,1,LK,local_only
confusing,definitional_compositional,7/27,1599195894021,Sri Lanka/1599195894021.jpg,27,LK,mixed
confusing,definitional_compositional,4/17,16626121325414055122188985078092-10_12_24,India/16626121325414055122188985078092-10_12_24.jpg,17,IN,na
confusing,definitional,2/12,1670141636769,SL cleaned Images/1670141636769.jpg,12,LK,mixed
confusing,definitional_compositional,33/34,1627272404960,Pakistan/1627272404960.jpg,34,PK,na
confusing,definitional,5/19,16619268407272342867798243772912-11_50_47,India/16619268407272342867798243772912-11_50_47.jpg,19,IN,en_only
confusing,definitional_compositional,6/15,1598332100959,Sri Lanka/1598332100959.jpg,15,LK,mixed
confusing,definitional,5/19,1604033230020,India/1604033230020.jpg,19,IN,en_only
confusing,definitional_compositional,31/32,1630679892096,Pakistan/1630679892096.jpg,32,PK,en_only
confusing,definitional_compositional,6/15,1599115610737,Sri Lanka/1599115610737.jpg,15,LK,mixed
confusing,definitional,7/24,1651378425417,SL cleaned Images/1651378425417.jpg,7,LK,mixed
confusing,definitional,5/19,1597377892779,Sri Lanka/1597377892779.jpg,19,LK,en_only
confusing,definitional,5/19,1540188820537,Sri Lanka/1540188820537.jpg,19,LK,mixed
confusing,definitional_compositional,6/15,1540528302808,Sri Lanka/1540528302808.jpg,15,LK,mixed
confusing,definitional_compositional,33/34,image-10_21_49,India/image-10_21_49.jpg,34,IN,en_only
confusing,definitional,5/19,1539757298776,Sri Lanka/1539757298776.jpg,19,LK,mixed
confusing,definitional,5/19,1654155640499,SL cleaned Images/1654155640499.jpg,19,LK,en_only
confusing,definitional,5/19,1655012417238,SL cleaned Images/1655012417238.jpg,19,LK,mixed
confusing,definitional,5/19,1627299001452,Bangladesh/1627299001452.jpg,19,BD,na
confusing,definitional,5/19,1599883449352,Sri Lanka/1599883449352.jpg,19,LK,mixed
confusing,definitional_compositional,33/34,IMG20220830112517-11_26_2,India/IMG20220830112517-11_26_2.jpg,34,IN,na
confusing,definitional,5/19,1539663395784,Sri Lanka/1539663395784.jpg,19,LK,en_only
confusing,definitional,7/24,1599196423370,Sri Lanka/1599196423370.jpg,7,LK,mixed
confusing,definitional_compositional,4/17,1597383338067,Sri Lanka/1597383338067.jpg,17,LK,mixed
confusing,definitional_compositional,4/17,1643087556934,India/1643087556934.jpg,17,IN,en_only
confusing,definitional,8/23,16630453699248445758121419345863-10_33_1,India/16630453699248445758121419345863-10_33_1.jpg,23,IN,na
confusing,definitional_compositional,7/27,1593576089311,Sri Lanka/1593576089311.jpg,27,LK,mixed
confusing,definitional,3/18,1628836429229,Pakistan/1628836429229.jpg,18,PK,en_only
confusing,definitional_compositional,4/17,16623561925824027421384939385679-11_6_38,India/16623561925824027421384939385679-11_6_38.jpg,17,IN,na
confusing,definitional,7/24,1598419803732,Sri Lanka/1598419803732.jpg,24,LK,mixed
confusing,definitional,3/18,1598329103316,Sri Lanka/1598329103316.jpg,18,LK,mixed
confusing,definitional,8/23,16627878350386358018840762806798-11_0_42,India/16627878350386358018840762806798-11_0_42.jpg,23,IN,na
confusing,definitional,3/18,1634031570250,SL cleaned Images/1634031570250.jpg,18,LK,mixed
confusing,definitional,7/24,1599197787264,Sri Lanka/1599197787264.jpg,24,LK,mixed
confusing,definitional_compositional,31/32,1629130439623,Pakistan/1629130439623.jpg,32,PK,na
confusing,definitional_compositional,31/32,1630506870081,Pakistan/1630506870081.jpg,32,PK,na
confusing,definitional,8/23,1581735942899,Bangladesh/1581735942899.jpg,23,BD,na
confusing,definitional,3/18,1593490217384,Sri Lanka/1593490217384.jpg,18,LK,mixed
confusing,definitional,3/18,1599198336785,Sri Lanka/1599198336785.jpg,18,LK,en_only
confusing,definitional,8/23,1600846538904,Sri Lanka/1600846538904.jpg,23,LK,mixed
confusing,definitional,3/18,1597144701376,Sri Lanka/1597144701376.jpg,3,LK,en_only
confusing,definitional,3/18,1627887253933,Pakistan/1627887253933.jpg,3,PK,na
confusing,definitional,3/18,1598333602143,Sri Lanka/1598333602143.jpg,18,LK,mixed
confusing,definitional,3/18,16617509425056639586095409648541-10_59_8,India/16617509425056639586095409648541-10_59_8.jpg,18,IN,na
confusing,definitional,7/24,1643175393316,SL cleaned Images/1643175393316.jpg,24,LK,mixed
confusing,definitional,3/18,1597814532122,Sri Lanka/1597814532122.jpg,18,LK,mixed
confusing,definitional,3/18,1627534403489,Pakistan/1627534403489.jpg,18,PK,en_only
confusing,definitional,7/24,1593506876581,Sri Lanka/1593506876581.jpg,7,LK,mixed
confusing,definitional,7/24,1600147964755,Sri Lanka/1600147964755.jpg,24,LK,mixed
confusing,definitional,7/24,IMG20220903110925-11_10_11,India/IMG20220903110925-11_10_11.jpg,7,IN,en_only
confusing,definitional,7/24,1599548115538,Sri Lanka/1599548115538.jpg,7,LK,local_only
confusing,definitional,7/24,1655014149163,SL cleaned Images/1655014149163.jpg,24,LK,mixed
confusing,definitional,7/24,1607919902834,Bangladesh/1607919902834.jpg,24,BD,na
confusing,definitional,8/23,1597212100380,Sri Lanka/1597212100380.jpg,23,LK,mixed
confusing,definitional,7/24,1615608394277,Sri Lanka/1615608394277.jpg,7,LK,mixed
confusing,definitional,2/12,1682580229727,SL cleaned Images/1682580229727.jpg,2,LK,mixed
confusing,definitional,8/23,1600754964608,Sri Lanka/1600754964608.jpg,23,LK,en_only
confusing,definitional,8/23,1599541353856,Sri Lanka/1599541353856.jpg,23,LK,en_only
confusing,definitional,2/12,1629781639399,Pakistan/1629781639399.jpg,2,PK,en_only
confusing,definitional,8/23,1597383818379,Sri Lanka/1597383818379.jpg,23,LK,mixed
confusing,definitional,2/12,1678091722794,SL cleaned Images/1678091722794.jpg,12,LK,local_only
confusing,definitional,2/12,1651378463998,SL cleaned Images/1651378463998.jpg,12,LK,mixed
confusing,definitional,8/23,1599110756004,Sri Lanka/1599110756004.jpg,23,LK,local_only
confusing,definitional,8/23,1673935568401,SL cleaned Images/1673935568401.jpg,23,LK,mixed
confusing,definitional,8/23,1604555030395,India/1604555030395.jpg,23,IN,na
confusing,definitional,2/12,1646975346051,SL cleaned Images/1646975346051.jpg,12,LK,mixed
confusing,definitional,2/12,1682578546464,SL cleaned Images/1682578546464.jpg,12,LK,mixed
confusing,definitional,2/12,1673938902687,SL cleaned Images/1673938902687.jpg,12,LK,local_only
confusing,definitional,2/12,1678090530452,SL cleaned Images/1678090530452.jpg,2,LK,local_only
confusing,definitional,2/12,1682578762976,SL cleaned Images/1682578762976.jpg,2,LK,mixed
confusing,definitional,2/12,1680501973245,SL cleaned Images/1680501973245.jpg,2,LK,local_only
confusing,definitional,2/12,1629951825913,Pakistan/1629951825913.jpg,2,PK,en_only
control,non_confusing,,1596861897899,Bangladesh/1596861897899.jpg,20,BD,na
control,non_confusing,,1627466012049,Bangladesh/1627466012049.jpg,21,BD,na
control,non_confusing,,1606709682038,Bangladesh/1606709682038.jpg,20,BD,na
control,non_confusing,,1627727615894,Bangladesh/1627727615894.jpg,21,BD,na
control,non_confusing,,16617510364911829221426728877672-11_0_49,India/16617510364911829221426728877672-11_0_49.jpg,20,IN,en_only
control,non_confusing,,1604638506958,India/1604638506958.jpg,21,IN,en_only
control,non_confusing,,1604117974505,India/1604117974505.jpg,21,IN,en_only
control,non_confusing,,IMG20220903103728-10_38_23,India/IMG20220903103728-10_38_23.jpg,20,IN,en_only
control,non_confusing,,1643354991752,India/1643354991752.jpg,20,IN,en_only
control,non_confusing,,1604037188042,India/1604037188042.jpg,29,IN,en_only
control,non_confusing,,16620157938255515206012947762030-12_33_20,India/16620157938255515206012947762030-12_33_20.jpg,20,IN,na
control,non_confusing,,16626987710253783441077681432983-10_16_25,India/16626987710253783441077681432983-10_16_25.jpg,29,IN,na
control,non_confusing,,IMG_20220908_113342-11_35_43,India/IMG_20220908_113342-11_35_43.jpg,20,IN,na
control,non_confusing,,PXL_20220909_103604266-10_37_4,India/PXL_20220909_103604266-10_37_4.jpg,20,IN,na
control,non_confusing,,IMG_20220830_102651-10_27_44,India/IMG_20220830_102651-10_27_44.jpg,20,IN,na
control,non_confusing,,IMG_20220909_104224-10_42_39,India/IMG_20220909_104224-10_42_39.jpg,20,IN,na
control,non_confusing,,16627024578834907554166472380524-11_17_43,India/16627024578834907554166472380524-11_17_43.jpg,20,IN,na
control,non_confusing,,16625279614016495935600800130735-10_49_25,India/16625279614016495935600800130735-10_49_25.jpg,20,IN,na
control,non_confusing,,1597984302839,Sri Lanka/1597984302839.jpg,20,LK,en_only
control,non_confusing,,1598247113286,Sri Lanka/1598247113286.jpg,20,LK,en_only
control,non_confusing,,1599114048141,Sri Lanka/1599114048141.jpg,20,LK,en_only
control,non_confusing,,1597986059948,Sri Lanka/1597986059948.jpg,20,LK,en_only
control,non_confusing,,1655012542845,SL cleaned Images/1655012542845.jpg,20,LK,en_only
control,non_confusing,,1599109767842,Sri Lanka/1599109767842.jpg,20,LK,en_only
control,non_confusing,,1594357314307,Sri Lanka/1594357314307.jpg,20,LK,en_only
control,non_confusing,,1600237776593,Sri Lanka/1600237776593.jpg,20,LK,en_only
control,non_confusing,,1597990437648,Sri Lanka/1597990437648.jpg,20,LK,en_only
control,non_confusing,,1593665046178,Sri Lanka/1593665046178.jpg,29,LK,local_only
control,non_confusing,,1599110080786,Sri Lanka/1599110080786.jpg,29,LK,local_only
control,non_confusing,,1676013914811,SL cleaned Images/1676013914811.jpg,29,LK,local_only
control,non_confusing,,1648789950583,SL cleaned Images/1648789950583.jpg,20,LK,local_only
control,non_confusing,,1597987449582,Sri Lanka/1597987449582.jpg,20,LK,local_only
control,non_confusing,,1617176397382,Sri Lanka/1617176397382.jpg,29,LK,local_only
control,non_confusing,,1617515535506,Sri Lanka/1617515535506.jpg,29,LK,local_only
control,non_confusing,,1651377816037,SL cleaned Images/1651377816037.jpg,20,LK,local_only
control,non_confusing,,1600151040636,Sri Lanka/1600151040636.jpg,20,LK,local_only
control,non_confusing,,1646975418916,SL cleaned Images/1646975418916.jpg,21,LK,mixed
control,non_confusing,,1617597191922,Sri Lanka/1617597191922.jpg,29,LK,mixed
control,non_confusing,,1644293461935,SL cleaned Images/1644293461935.jpg,9,LK,mixed
control,non_confusing,,1655010781255,SL cleaned Images/1655010781255.jpg,21,LK,mixed
control,non_confusing,,1636605301732,SL cleaned Images/1636605301732.jpg,29,LK,mixed
control,non_confusing,,1613457045009,Sri Lanka/1613457045009.jpg,20,LK,mixed
control,non_confusing,,1594963522610,Sri Lanka/1594963522610.jpg,20,LK,mixed
control,non_confusing,,1598244248645,Sri Lanka/1598244248645.jpg,21,LK,mixed
control,non_confusing,,1598419984271,Sri Lanka/1598419984271.jpg,20,LK,mixed
control,non_confusing,,1599199608714,Sri Lanka/1599199608714.jpg,21,LK,mixed
control,non_confusing,,1644991186719,SL cleaned Images/1644991186719.jpg,29,LK,mixed
control,non_confusing,,1644989840260,SL cleaned Images/1644989840260.jpg,9,LK,mixed
control,non_confusing,,1648784694269,SL cleaned Images/1648784694269.jpg,29,LK,mixed
control,non_confusing,,1615612871152,Sri Lanka/1615612871152.jpg,29,LK,mixed
control,non_confusing,,1600837903913,Sri Lanka/1600837903913.jpg,20,LK,mixed
control,non_confusing,,1600152206885,Sri Lanka/1600152206885.jpg,20,LK,mixed
control,non_confusing,,1632809733147,SL cleaned Images/1632809733147.jpg,21,LK,mixed
control,non_confusing,,1636603535769,SL cleaned Images/1636603535769.jpg,20,LK,mixed
control,non_confusing,,1600838383779,Sri Lanka/1600838383779.jpg,20,LK,mixed
control,non_confusing,,1539324925512,Sri Lanka/1539324925512.jpg,9,LK,mixed
