id,image_path,gold_specific,gold_code_raw,country,language,language_raw
1539316973389,Sri Lanka/1539316973389.jpg,1,1,LK,mixed,sinhala english
1539318316550,Sri Lanka/1539318316550.jpg,14,14,LK,mixed,sinhala english
1539318595056,Sri Lanka/1539318595056.jpg,19,19,LK,mixed,sinhala english
1539318611831,Sri Lanka/1539318611831.jpg,25,25,LK,mixed,sinhala english
1539319384229,Sri Lanka/1539319384229.jpg,21,21,LK,en_only,english
1539319395383,Sri Lanka/1539319395383.jpg,19,19,LK,mixed,sinhala english
1539319412878,Sri Lanka/1539319412878.jpg,25,25,LK,en_only,english
1539320189801,Sri Lanka/1539320189801.jpg,25,25,LK,mixed,sinhala english
1539320675777,Sri Lanka/1539320675777.jpg,25,25,LK,en_only,english
1539320694892,Sri Lanka/1539320694892.jpg,25,25,LK,en_only,english
1539320824418,Sri Lanka/1539320824418.jpg,19,19,LK,mixed,tamil english
1539320895334,Sri Lanka/1539320895334.jpg,25,25,LK,mixed,sinhala english
1539322821844,Sri Lanka/1539322821844.jpg,25,25,LK,mixed,tamil english
1539322832737,Sri Lanka/1539322832737.jpg,25,25,LK,en_only,english
1539322870848,Sri Lanka/1539322870848.jpg,25,25,LK,mixed,sinhala english
1539324896482,Sri Lanka/1539324896482.jpg,19,19,LK,mixed,sinhala english
1539324925512,Sri Lanka/1539324925512.jpg,9,9,LK,mixed,sinhala tamil english
1539327824770,Sri Lanka/1539327824770.jpg,25,25,LK,en_only,english
1539327842548,Sri Lanka/1539327842548.jpg,25,25,LK,en_only,english
1539327864197,Sri Lanka/1539327864197.jpg,25,25,LK,en_only,english
1539328645258,Sri Lanka/1539328645258.jpg,25,25,LK,en_only,english
1539662051638,Sri Lanka/1539662051638.jpg,25,25,LK,mixed,sinhala english
1539662065949,Sri Lanka/1539662065949.jpg,21,21,LK,mixed,sinhala english
1539662179342,Sri Lanka/1539662179342.jpg,20,20,LK,en_only,english
1539662196968,Sri Lanka/1539662196968.jpg,20,20,LK,mixed,sinhala english
1539662209674,Sri Lanka/1539662209674.jpg,25,25,LK,en_only,english
1539662226555,Sri Lanka/1539662226555.jpg,25,25,LK,mixed,sinhala english
1539662257676,Sri Lanka/1539662257676.jpg,15,15,LK,mixed,sinhala english
1539662273672,Sri Lanka/1539662273672.jpg,21,21,LK,mixed,sinhala english
1539662286951,Sri Lanka/1539662286951.jpg,14,14,LK,en_only,english
